2025-09-13 15:56:09 [INFO    ] GABAssetMind.test.<string>.<module>:1 - Sistema logging OK
2025-09-13 15:56:09 [DEBUG   ] GABAssetMind.test.<string>.<module>:1 - Debug message (nascosto)
2025-09-13 16:01:58 [DEBUG   ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:94 - Validando path portfolio: portfolio_test.xlsx
2025-09-13 16:01:58 [INFO    ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:111 - Path portfolio validato con successo: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_test.xlsx
2025-09-13 16:02:06 [DEBUG   ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:94 - Validando path portfolio: portfolio_test.xlsx
2025-09-13 16:02:06 [INFO    ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:111 - Path portfolio validato con successo: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_test.xlsx
2025-09-13 16:02:06 [DEBUG   ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:94 - Validando path portfolio: ../../../windows/system32/test.xlsx
2025-09-13 16:06:41 [DEBUG   ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:94 - Validando path portfolio: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_data.xlsx
2025-09-13 16:06:41 [ERROR   ] GABAssetMind.PortfolioManager.models.__init__:125 - Path portfolio non sicuro: Pattern pericoloso rilevato nel path: [<>:"|?*]
2025-09-13 16:06:41 [DEBUG   ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:94 - Validando path portfolio: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_data.xlsx
2025-09-13 16:06:41 [ERROR   ] GABAssetMind.PathSecurity.security_validation.create_safe_portfolio_path:314 - Errore creazione path sicuro per portfolio_data.xlsx: Pattern pericoloso rilevato nel path: [<>:"|?*]
2025-09-13 16:10:22 [DEBUG   ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:95 - Validando path portfolio: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_data.xlsx
2025-09-13 16:10:22 [ERROR   ] GABAssetMind.PortfolioManager.models.__init__:125 - Path portfolio non sicuro: Pattern pericoloso rilevato nel path: [<>:"|?*]
